year,county,state,total_jobs,toal_average_wage,number_of_homeless
2021,Addison County,Vermont,14440,90419,97
2021,Bennington County,Vermont,15699,52147,278
2021,Caledonia County,Vermont,10164,96563,139
2021,Chittenden County,Vermont,98194,112967,668
2021,Essex County,Vermont,1032,81638,1
2021,Franklin County,Vermont,16957,96076,162
2021,Grand Isle County,Vermont,1160,82293,1
2021,Lamoille County,Vermont,11206,94740,57
2021,Orange County,Vermont,7474,85237,38
2021,Orleans County,Vermont,10305,75483,33
2021,Rutland County,Vermont,24529,88178,374
2021,Washington County,Vermont,31640,95221,389
2021,Windham County,Vermont,18868,83874,404
2021,Windsor County,Vermont,22252,94370,139
