data,type,operator,death,link
21-MAR-2022,Boeing 737-89P (WL),China Eastern,132,/database/record.php?id=20220321-0
01-MAR-2022,Shaanxi Y-8,China Air Force,7,/database/record.php?id=20220301-0
01-MAR-2021,Beech B300 King Air 350i,"Beidahuang General Airlines, opf China Meteorological Administrat",5,/database/record.php?id=20210301-0
29-JAN-2018,Shaanxi Y-8GX-3,China Air Force,12,/database/record.php?id=20180129-0
20-JUL-2016,Cessna 208B Grand Caravan EX,Joy General Aviation,5,/database/record.php?id=20160720-0
06-AUG-2013,Shijiazhuang Y-5B,Jingmen General Aviation,1,/database/record.php?id=20130806-0
29-JUN-2012,Embraer ERJ-190,Tianjin Airlines,2,/database/record.php?id=20120629-0
28-MAR-2011,Cessna 550 Citation II,Zhong Fei General Aviation Co.,3,/database/record.php?id=20110328-0
24-AUG-2010,Embraer ERJ-190,Henan Airlines,44,/database/record.php?id=20100824-0
28-NOV-2009,MD-11F,Avient Aviation,3,/database/record.php?id=20091128-0
15-JUN-2008,Harbin Yunshuji Y-12 II,China Flying Dragon,3,/database/record.php?id=20080615-0
19-OCT-2006,Xian Yunshuji Y-7,China Air Force,2,/database/record.php?id=20061019-1
03-JUN-2006,Shaanxi KJ-200 (Y-8),China Air Force,40,/database/record.php?id=20060603-0
21-NOV-2004,Canadair CRJ-200LR,China Yunnan,53+ 2,/database/record.php?id=20041121-0
18-MAY-2004,Ilyushin Il-76TD,"Silk Way, op.for Azal Cargo",7,/database/record.php?id=20040518-0
02-SEP-2002,Cessna 650 Citation VI,CAAC,3,/database/record.php?id=20020902-0
07-MAY-2002,DC-9-82 (MD-82),China Northern,112,/database/record.php?id=20020507-1
04-JAN-2001,Shaanxi Yunshuji Y-8,China Air Force,8,/database/record.php?id=20010104-1
04-JAN-2001,Shaanxi Yunshuji Y-8,China Air Force,8+ 6,/database/record.php?id=20010104-0
27-SEP-2000,Boeing 737,China Xinhua Airlines,1,/database/record.php?id=20000927-1
22-JUN-2000,Xian Yunshuji Y-7-100C,Wuhan Airlines,42+ 7,/database/record.php?id=20000622-0
15-APR-1999,MD-11F,Korean Air,3+ 5,/database/record.php?id=19990415-0
24-FEB-1999,Tupolev Tu-154M,China Southwest,61,/database/record.php?id=19990224-0
22-DEC-1997,Airbus A300?,China Eastern,1,/database/record.php?id=19971222-2
08-MAY-1997,Boeing 737-31B,China Southern,35,/database/record.php?id=19970508-0
21-JUN-1996,Harbin Yunshuji Y-12 II,China Flying Dragon,2,/database/record.php?id=19960621-0
06-JUN-1994,Tupolev Tu-154M,China Northwest,160,/database/record.php?id=19940606-1
13-NOV-1993,DC-9-82 (MD-82),China Northern,12,/database/record.php?id=19931113-0
26-OCT-1993,DC-9-82 (MD-82),China Eastern,2,/database/record.php?id=19931026-1
23-JUL-1993,BAe-146-300,China Northwest,56,/database/record.php?id=19930723-0
24-NOV-1992,Boeing 737-3Y0,China Southern,141,/database/record.php?id=19921124-0
08-OCT-1992,Avia 14,Wuhan Airlines,14,/database/record.php?id=19921008-0
