status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
 Information is only available from news or social media reports,Monday 21 March 2022,06:22 UTC,Boeing 737-89P (WL),China Eastern Airlines, B-1791, 41474/5453, 2015-06-05  (6 years 10 months), 2 CFMI CFM56-7B26E,Fatalities: 9 / Occupants: 9,Fatalities: 123 / Occupants: 123,Fatalities: 132 / Occupants: 132 , Destroyed, Written off (damaged beyond repair),"Tengxian, Guangxi (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Kunming Changshui International Airport (KMG/ZPPP), China","Guangzhou Baiyun International Airport (CAN/ZGGG), China",MU5735,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20220321-0,,,,,,,,,,,,,,
 Little or no information is available,Tuesday 1 March 2022,,Shaanxi Y-8,People's Liberation Army - Air Force - PLAAF, registration unknown, , ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities:  / Occupants:  , Damaged beyond repair,,"off Sanya (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20220301-0,,,,,,,,,,,,,,
Final,Monday 1 March 2021,15:19,Beechcraft B300 King Air 350i,Beidahuang General Airlines, B-10GD, FL-1014, 2016, 2 Pratt & Whitney Canada PT6A-60A,Fatalities: 2 / Occupants: 2,Fatalities: 3 / Occupants: 3,Fatalities: 5 / Occupants: 5 , Destroyed, Written off (damaged beyond repair),"Shanghu, Ji'an County (   China) 
", En route (ENR),Agricultural,"Ganzhou Airport (KOW/ZSGZ), China","Ganzhou Airport (KOW/ZSGZ), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20210301-0,China Meteorological Administration (CMA),672,398,"

Investigating agency: CAAC 
Status: Investigation completed
Duration: 239 days (8 months)Accident number: 20210301TFSQ01Download report:   Final report


",CAAC ,Investigation completed,239 days (8 months),20210301TFSQ01,"  Final report
",,,,,
,Monday 29 January 2018,,Shaanxi Y-8GX-3,People's Liberation Army - Air Force - PLAAF, 30513, , ,,Fatalities: 5 / Occupants: 5,Fatalities: 7 / Occupants: 7,Fatalities: 12 / Occupants: 12 , Destroyed, Written off (damaged beyond repair),"Zhengchang, Suiyang County, Guizhou Province (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20180129-0,,,,,,,,,,,,,,
Preliminary,Wednesday 20 July 2016,ca 12:20,Cessna 208B Grand Caravan EX,Joy General Aviation, B-10FW, 208B5222, 2015, 1 Pratt & Whitney Canada PT6A-140,Fatalities: 1 / Occupants: 2,Fatalities: 4 / Occupants: 8,Fatalities: 5 / Occupants: 10 , Damaged beyond repair,,"off Jinshan City Beach (   China) 
", Takeoff (TOF),Domestic Non Scheduled Passenger,"Jinshan City Beach Seaplane Base, China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20160720-0,,,,,,,,,,,,,,
Preliminary,Tuesday 6 August 2013,,Shijiazhuang Y-5B,Jingmen General Aviation Co., B-8473, 0101, 1989,,Fatalities: 1 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 3 , Damaged beyond repair,,"Danfeng County (   China) 
", Unknown (UNK),Agricultural,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20130806-0,,,,,,,,,,,,,,
,Friday 29 June 2012,12:35,Embraer ERJ 190-100 LR  (ERJ-190LR),Tianjin Airlines, B-3171, 19000379, 2010, 2 General Electric CF34-10E5,Fatalities: 0 / Occupants: 9,Fatalities: 2 / Occupants: 92,Fatalities: 2 / Occupants: 101 , None,,"Hotan Airport (HTN) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Hotan Airport (HTN/ZWTN), China","Urumqi Airport (URC/ZWWW), China",GS7554,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20120629-0,,,,,,,,,,,,,,
Preliminary,Monday 28 March 2011,19:45,Cessna 550 Citation II,Zhong Fei General Aviation Company - CFGAC, B-7026, 550-0305, 1981, 2 Pratt & Whitney Canada JT15D-4,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"Manas County, Hui Autonomous Prefecture of Changji (   China) 
", En route (ENR),Survey/research,"Korla Airport (KRL/ZWKL), China","Korla Airport (KRL/ZWKL), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20110328-0,,,,,,,,,,,,,,
Final,Tuesday 24 August 2010,21:38,Embraer ERJ 190-100 LR  (ERJ-190LR),Henan Airlines, B-3130, 19000223, 2008, 2 General Electric CF34-10E5,Fatalities:  / Occupants: 5,Fatalities:  / Occupants: 91,Fatalities: 44 / Occupants: 96 , Destroyed, Written off (damaged beyond repair),"0,9 km (0.6 mls) E of Yichun Lindu Airport (LDS) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Harbin-Taiping International Airport (HRB/ZYHB), China","Yichun Lindu Airport (LDS/ZYLD), China",VD8387,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20100824-0,,5109,4712,,,,,,,,,,,
Preliminary,Sunday 15 June 2008,16:30,Harbin Yunshuji Y-12 II,China Flying Dragon Aviation, B-3841, 0061, ,,Fatalities: 3 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 4 , Damaged beyond repair,,"near Chifeng (   China) 
", En route (ENR),Survey/research,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=20080615-0,,,,,,,,,,,,,,
