status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,link,total_airframe_hrs,cycles,ground_casualties,crash_site_elevation,collision_casualties,location_n,lat,lng,fatilities,nothing,occupants
 Information is only available from news or social media reports,2022-03-21,06:22 UTC,Boeing 737-89P (WL),China Eastern Airlines,B-1791,41474/5453,2015-06-05  (6 years 10 months),2 CFMI CFM56-7B26E,Fatalities: 9 / Occupants: 9,Fatalities: 123 / Occupants: 123, 132 /  132, Destroyed, Written off (damaged beyond repair),"Tengxian, Guangxi (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Kunming Changshui International Airport (KMG/ZPPP), China","Guangzhou Baiyun International Airport (CAN/ZGGG), China",MU5735,https://aviation-safety.net/database/record.php?id=20220321-0,,,,,,"Tengxian, Guangxi ",23.374504,110.914623,132,/,132
Preliminary,2016-07-20,ca 12:20,Cessna 208B Grand Caravan EX,Joy General Aviation,B-10FW,208B5222,2015,1 Pratt & Whitney Canada PT6A-140,Fatalities: 1 / Occupants: 2,Fatalities: 4 / Occupants: 8, 5 /  10, Damaged beyond repair,,"off Jinshan City Beach (   China) 
", Takeoff (TOF),Domestic Non Scheduled Passenger,"Jinshan City Beach Seaplane Base, China",?,,https://aviation-safety.net/database/record.php?id=20160720-0,,,,,, Jinshan City Beach ,30.77712,121.41964,5,/,10
,2012-06-29,12:35,Embraer ERJ 190-100 LR  (ERJ-190LR),Tianjin Airlines,B-3171,19000379,2010,2 General Electric CF34-10E5,Fatalities: 0 / Occupants: 9,Fatalities: 2 / Occupants: 92, 2 /  101, None,,"Hotan Airport (HTN) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Hotan Airport (HTN/ZWTN), China","Urumqi Airport (URC/ZWWW), China",GS7554,https://aviation-safety.net/database/record.php?id=20120629-0,,,,,,Hotan Airport (HTN) ,37.039881,79.87447,2,/,101
Final,2010-08-24,21:38,Embraer ERJ 190-100 LR  (ERJ-190LR),Henan Airlines,B-3130,19000223,2008,2 General Electric CF34-10E5,Fatalities:  / Occupants: 5,Fatalities:  / Occupants: 91, 44 /  96, Destroyed, Written off (damaged beyond repair),"0,9 km (0.6 mls) E of Yichun Lindu Airport (LDS) (   China)", Landing (LDG),Domestic Scheduled Passenger,"Harbin-Taiping International Airport (HRB/ZYHB), China","Yichun Lindu Airport (LDS/ZYLD), China",VD8387,https://aviation-safety.net/database/record.php?id=20100824-0,5109.0,4712.0,,,,"0,9 km (0.6 mls) E of Yichun Lindu Airport (LDS) ",47.751944,129.018889,44,/,96
Preliminary,2004-11-21,08:20,Canadair CL-600-2B19 Regional Jet CRJ-200LR,China Yunnan Airlines,B-3072,7697,2002,2 General Electric CF34-3B1,Fatalities: 6 / Occupants: 6,Fatalities: 47 / Occupants: 47, 53 /  53, Destroyed, Written off (damaged beyond repair),"near Baotou Airport (BAV) (   China) 
", Initial climb (ICL),Domestic Scheduled Passenger,"Baotou Airport (BAV/ZBOW), China","Shanghai-Hongqiao Airport (SHA/ZSSS), China",5210,https://aviation-safety.net/database/record.php?id=20041121-0,,,Fatalities: 2,,, Baotou Airport (BAV) ,40.566454,110.002197,53,/,53
Preliminary,2002-05-07,21:32,McDonnell Douglas DC-9-82 (MD-82),China Northern Airlines,B-2138,49522/1702,1990,2 Pratt & Whitney JT8D-217A,Fatalities: 9 / Occupants: 9,Fatalities: 103 / Occupants: 103, 112 /  112, Destroyed, Written off (damaged beyond repair),20 km (12.5 mls) E off  Dalian (   China), Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Dalian Airport (DLC/ZYTL), China",6163,https://aviation-safety.net/database/record.php?id=20020507-1,26000.0,16000.0,,,,20 km (12.5 mls) E   Dalian ,38.91399,121.6147,112,/,112
,2000-09-27,,Boeing 737,China Xinhua Airlines, registration unknown, , ,,Fatalities: 0 / Occupants:,Fatalities: 1 / Occupants:, 1 /  143, Unknown,,"Jinan Airport (TNA) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Baotou Airport (BAV/ZBOW), China","Beijing-Capital International Airport (PEK/ZBAA), China",XW126,https://aviation-safety.net/database/record.php?id=20000927-1,,,,,,Jinan Airport (TNA) ,36.857201,117.216003,1,/,143
Preliminary - official,2000-06-22,14:51,Xian Yunshuji Y-7-100C,Wuhan Airlines,B-3479,6708,1988,2 Harbin WJ-5A-1,Fatalities: 4 / Occupants: 4,Fatalities: 38 / Occupants: 38, 42 /  42, Destroyed, Written off (damaged beyond repair),ca 25 km from Wuhan (   China), Approach (APR),Domestic Scheduled Passenger,"Enshi Airport (ENH/ZHES), China","Wuhan Tianhe International Airport (WUH/ZHHH), China",343,https://aviation-safety.net/database/record.php?id=20000622-0,13900.0,11800.0,Fatalities: 7,,,ca 25 km from Wuhan ,30.64353,114.32472,42,/,42
Final,1999-02-24,16:34,Tupolev Tu-154M,China Southwest Airlines,B-2622,90A846,1990,3 Soloviev D-30KU-154-II,Fatalities: 11 / Occupants: 11,Fatalities: 50 / Occupants: 50, 61 /  61, Destroyed, Written off (damaged beyond repair),"Ruian (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Wenzhou Yongqiang Airport (WNZ/ZSWZ), China",4509,https://aviation-safety.net/database/record.php?id=19990224-0,14135.0,7748.0,,,,Ruian ,27.577905,120.49161,61,/,61
,1997-12-22,,Airbus A300?,China Eastern Airlines, registration unknown, , ,,Fatalities: 0 / Occupants:,Fatalities: 1 / Occupants:, 1 / , None,,"Xiamen Airport (XMN) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Shanghai-Hongqiao Airport (SHA/ZSSS), China","Xiamen Airport (XMN/ZSAM), China",MU5915,https://aviation-safety.net/database/record.php?id=19971222-2,,,,,,Xiamen Airport (XMN) ,24.539071,118.134368,1,/,
